종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
인간공학,2017,전체,701,534,407,76.2,597,453,126,27.8,126
인간공학,2017,여자,202,151,117,77.5,166,129,33,25.6,33
인간공학,2018,전체,1043,782,523,66.9,696,531,256,48.2,256
인간공학,2018,여자,264,206,142,68.9,178,137,69,50.4,69
인간공학,2019,전체,1388,1109,741,66.8,993,791,243,30.7,243
인간공학,2019,여자,354,288,198,68.8,254,208,70,33.7,70
인간공학,2020,전체,1216,967,666,68.9,1251,904,607,67.1,607
인간공학,2020,여자,341,275,212,77.1,372,270,170,63,170
소방설비(기계분야),전체,전체,410782,292410,118459,40.5,298027,225490,49472,21.9,56920
소방설비(기계분야),2015(누적),전체,311191,219058,90116,41.1,234985,172253,34354,19.9,41802
소방설비(기계분야),2016,전체,16100,11418,4168,36.5,9543,7936,2092,26.4,2092
소방설비(기계분야),2016,여자,1271,961,320,33.3,759,661,191,28.9,191
소방설비(기계분야),2017,전체,18630,13524,3891,28.8,10050,8603,2981,34.7,2981
소방설비(기계분야),2017,여자,1540,1183,319,27,800,702,252,35.9,252
소방설비(기계분야),2018,전체,21070,15757,4515,28.7,10196,8812,3349,38,3349
소방설비(기계분야),2018,여자,1661,1287,361,28,844,741,314,42.4,314
소방설비(기계분야),2019,전체,24566,18030,8223,45.6,13905,12024,3620,30.1,3620
소방설비(기계분야),2019,여자,2008,1542,669,43.4,1114,994,286,28.8,286
소방설비(기계분야),2020,전체,19225,14623,7546,51.6,19348,15862,3076,19.4,3076
소방설비(기계분야),2020,여자,1593,1242,646,52,1656,1368,284,20.8,284
소방설비1급,전체,전체,252889,180069,77397,43,142065,113164,32797,29,0
소방설비1급,2015(누적),전체,252889,180069,77397,43,142065,113164,32797,29,0
소방설비(전기분야),전체,전체,494352,353663,162283,45.9,327159,251010,98747,39.3,104785
소방설비(전기분야),2015(누적),전체,342813,242831,114656,47.2,239687,179109,66734,37.3,72772
소방설비(전기분야),2016,전체,24007,17109,7845,45.9,14261,11560,2795,24.2,2795
소방설비(전기분야),2016,여자,1588,1145,527,46,929,787,180,22.9,180
