종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
통신설비,2018,2018,전체,1548,1340,338,25.2,691,663,373,56.3,373
통신설비,2018,2018,여,69,55,9,16.4,24,24,14,58.3,14
통신설비,2019,2019,전체,1024,894,328,36.7,536,490,112,22.9,112
통신설비,2019,2019,여,53,42,15,35.7,22,22,9,40.9,9
제과.제빵분야,1975,2019,전체,7211,6590,2950,44.8,6777,6069,1080,17.8,1080
제과.제빵분야,1975,2014,전체,4882,4474,2040,45.6,4712,4182,760,18.2,760
제과.제빵분야,2015,2015,전체,497,465,193,41.5,411,366,73,19.9,73
제과.제빵분야,2015,2015,여,74,70,36,51.4,74,68,10,14.7,10
제과.제빵분야,2016,2016,전체,495,449,155,34.5,370,342,63,18.4,63
제과.제빵분야,2016,2016,여,84,77,36,46.8,76,67,10,14.9,10
제과.제빵분야,2017,2017,전체,496,441,170,38.5,420,387,59,15.2,59
제과.제빵분야,2017,2017,여,110,101,49,48.5,107,101,12,11.9,12
제과.제빵분야,2018,2018,전체,422,382,215,56.3,457,421,71,16.9,71
제과.제빵분야,2018,2018,여,95,87,56,64.4,122,111,19,17.1,19
제과.제빵분야,2019,2019,전체,419,379,177,46.7,407,371,54,14.6,54
제과.제빵분야,2019,2019,여,108,96,47,49,104,98,8,8.2,8
제과,1975,2019,전체,7211,6590,2950,44.8,6777,6069,1080,17.8,1080
제과,1975,2014,전체,4882,4474,2040,45.6,4712,4182,760,18.2,760
제과,2015,2015,전체,497,465,193,41.5,411,366,73,19.9,73
제과,2015,2015,여,74,70,36,51.4,74,68,10,14.7,10
제과,2016,2016,전체,495,449,155,34.5,370,342,63,18.4,63
제과,2016,2016,여,84,77,36,46.8,76,67,10,14.9,10
제과,2017,2017,전체,496,441,170,38.5,420,387,59,15.2,59
제과,2017,2017,여,110,101,49,48.5,107,101,12,11.9,12
제과,2018,2018,전체,422,382,215,56.3,457,421,71,16.9,71
제과,2018,2018,여,95,87,56,64.4,122,111,19,17.1,19
제과,2019,2019,전체,419,379,177,46.7,407,371,54,14.6,54
제과,2019,2019,여,108,96,47,49,104,98,8,8.2,8
목재.가구.공예분야,1975,2019,전체,596,568,248,43.7,411,388,107,27.6,107
