제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_101,"탁재형 PD (KBS 도전지구탐험대, EBS 세계테마기행 연출) 직장인 슬럼프, 번아웃을 극복하라!",60min,토크-쇼,2016-08-25
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_102,이창민 교수 (前 삼성그룹 회장 비서실) 또 다른 나를 발견하는 해외 인턴쉽,60min,토크-쇼,2016-08-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_103,이창민 교수 (前 삼성그룹 회장 비서실) 왜 글로벌 인재인가,60min,토크-쇼,2016-08-29
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_104,"최연희 (의류브랜드 BUOY 운영, 딜트로이트안진 근무) 나에게 집중하면 스토리가 보인다",60min,토크-쇼,2016-08-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_105,"최연희 (의류브랜드 BUOY 운영, 딜트로이트안진 근무) 이룰 수 없는 꿈이 인생을 움직인다",60min,토크-쇼,2016-08-31
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_106,이민영 기업교육전문가 (티앤디파트너스 소장) 습관이 나를 만든다,55min,토크-쇼,2016-09-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_107,이민영 기업교육전문가 (티앤디파트너스 소장) 감정도 습관이다,55min,토크-쇼,2016-09-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_108,김재현 (K&EDU 영어컨설팅 대표강사) 당신은 왜 영어 공부를 하는가,55min,토크-쇼,2016-09-05
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_109,"안태양 (죠스푸드 과장, GNP TRADING 신사업본부장) 취업의 정석",55min,토크-쇼,2016-09-06
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_110,"안태양 (죠스푸드 과장, GNP TRADING 신사업본부장) 청춘의 정석",55min,토크-쇼,2016-09-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_111,변민아 (다산북스 편집자) 나는 왜 도서편집자가 되었는가,55min,토크-쇼,2016-09-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_112,"변민아 (다산북스 편집자) 나답게 살 때, 가장 빛난다",55min,토크-쇼,2016-09-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_113,이은영 (신세계 이마트 인사담당자) 선택의 기술,55min,토크-쇼,2016-09-12
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_114,이은영 (신세계 이마트 인사담당자) 선택을 부르는 10가지 비법,60min,토크-쇼,2016-09-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_115,"윤승철 (사막 마라톤 그랜드 슬램 달성, ‘달리는 청춘의 시’ 저자) 취준생 정신력 강화 특집 사막을 건너는 방법",60min,토크-쇼,2016-09-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_116,"윤승철 (사막 마라톤 그랜드 슬램 달성, ‘달리는 청춘의 시’ 저자) 취준생 정신력 강화 특집 ‘무인도에서 살아남기’",60min,토크-쇼,2016-09-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_117,정상근 대표 (사람에게 배우는 학교 / 80만원으로 세계여행 저자) 도전 없이는 성장도 없다,60min,토크-쇼,2016-09-21
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_118,"정상근 대표 (사람에게 배우는 학교 / 80만원으로 세계여행 저자) 시작도 사람, 끝도 사람이다",60min,토크-쇼,2016-09-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_119,주민관 (바램감성소통연구소 소장) 멀티플레이어가 돼라!,60min,토크-쇼,2016-09-23
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_120,주민관 (바램감성소통연구소 소장) 세상을 보는 눈을 키워라,60min,토크-쇼,2016-09-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_121,배헌 (숭실대 경제학과 겸임교수) 바른 취업이란 무엇인가,60min,토크-쇼,2016-09-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_122,배헌 (숭실대 경제학과 겸임교수) 스타트업이 아니라 창업이다,60min,토크-쇼,2016-09-28
