종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
폐기물처리,1975,2014,전체,81367,54682,16578,30.3,34553,28268,7746,27.4,7764
폐기물처리,2015,2015,전체,2579,1689,665,39.4,1409,1260,364,28.9,364
폐기물처리,2015,2015,여,714,508,230,45.3,487,442,127,28.7,127
폐기물처리,2016,2016,전체,2782,1883,670,35.6,1258,1100,381,34.6,381
폐기물처리,2016,2016,여,805,589,238,40.4,422,365,119,32.6,119
폐기물처리,2017,2017,전체,3034,2107,795,37.7,1590,1385,757,54.7,757
폐기물처리,2017,2017,여,934,692,292,42.2,566,493,261,52.9,261
폐기물처리,2018,2018,전체,2631,1792,698,39,1332,1139,503,44.2,503
폐기물처리,2018,2018,여,814,597,278,46.6,518,449,204,45.4,204
폐기물처리,2019,2019,전체,2660,1771,791,44.7,1418,1244,580,46.6,580
폐기물처리,2019,2019,여,732,509,239,47,447,380,175,46.1,175
생물분류(식물),1975,2019,전체,2535,2108,652,30.9,998,925,468,50.6,491
생물분류(식물),1975,2014,전체,1932,1631,390,23.9,634,590,304,51.5,327
생물분류(식물),2015,2015,전체,109,88,43,48.9,51,49,18,36.7,18
생물분류(식물),2015,2015,여,54,46,22,47.8,28,27,10,37,10
생물분류(식물),2016,2016,전체,89,71,35,49.3,51,48,30,62.5,30
생물분류(식물),2016,2016,여,34,28,15,53.6,22,21,10,47.6,10
생물분류(식물),2017,2017,전체,172,133,67,50.4,93,86,27,31.4,27
생물분류(식물),2017,2017,여,64,50,26,52,39,38,13,34.2,13
생물분류(식물),2018,2018,전체,94,76,44,57.9,64,63,38,60.3,38
